rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
101,에이언즈 엔드: 디센트,https://boardlife.co.kr/game/6813,1~4명,1,4,전략게임,7.764,https://search.shopping.naver.com/search/all?query=에이언즈 엔드: 디센트 보드게임,https://www.google.com/search?q=에이언즈 엔드: 디센트 보드게임
102,크립티드,https://boardlife.co.kr/game/10259,3~5명,3,5,전략게임,7.756,https://search.shopping.naver.com/search/all?query=크립티드 보드게임,https://www.google.com/search?q=크립티드 보드게임
103,투 매니 본즈,https://boardlife.co.kr/game/6552,1~4명,1,4,전략게임,7.753,https://search.shopping.naver.com/search/all?query=투 매니 본즈 보드게임,https://www.google.com/search?q=투 매니 본즈 보드게임
104,매직 더 개더링,https://boardlife.co.kr/game/4381,2~0명,2,0,컬렉터블 게임,7.750,https://search.shopping.naver.com/search/all?query=매직 더 개더링 보드게임,https://www.google.com/search?q=매직 더 개더링 보드게임
105,광기의 저택 (2판),https://boardlife.co.kr/game/7212,1~5명,1,5,테마게임,7.749,https://search.shopping.naver.com/search/all?query=광기의 저택 (2판) 보드게임,https://www.google.com/search?q=광기의 저택 (2판) 보드게임
106,뤄양의 사람들,https://boardlife.co.kr/game/440,1~4명,1,4,전략게임,7.748,https://search.shopping.naver.com/search/all?query=뤄양의 사람들 보드게임,https://www.google.com/search?q=뤄양의 사람들 보드게임
107,원드러스 크리처,https://boardlife.co.kr/game/18143,1~4명,1,4,전략게임,7.747,https://search.shopping.naver.com/search/all?query=원드러스 크리처 보드게임,https://www.google.com/search?q=원드러스 크리처 보드게임
108,시볼루션,https://boardlife.co.kr/game/17689,1~4명,1,4,전략게임,7.747,https://search.shopping.naver.com/search/all?query=시볼루션 보드게임,https://www.google.com/search?q=시볼루션 보드게임
109,모던아트,https://boardlife.co.kr/game/883,3~5명,3,5,전략게임,7.744,https://search.shopping.naver.com/search/all?query=모던아트 보드게임,https://www.google.com/search?q=모던아트 보드게임
110,다섯 부족: 나칼라의 정령들,https://boardlife.co.kr/game/3954,2~4명,2,4,전략게임,7.744,https://search.shopping.naver.com/search/all?query=다섯 부족: 나칼라의 정령들 보드게임,https://www.google.com/search?q=다섯 부족: 나칼라의 정령들 보드게임
111,비티컬처 에센셜 에디션,https://boardlife.co.kr/game/6353,1~6명,1,6,전략게임,7.740,https://search.shopping.naver.com/search/all?query=비티컬처 에센셜 에디션 보드게임,https://www.google.com/search?q=비티컬처 에센셜 에디션 보드게임
112,스플렌더,https://boardlife.co.kr/game/3516,2~4명,2,4,가족게임,7.740,https://search.shopping.naver.com/search/all?query=스플렌더 보드게임,https://www.google.com/search?q=스플렌더 보드게임
113,아나크로니,https://boardlife.co.kr/game/6891,1~4명,1,4,전략게임,7.739,https://search.shopping.naver.com/search/all?query=아나크로니 보드게임,https://www.google.com/search?q=아나크로니 보드게임
114,마라카이보,https://boardlife.co.kr/game/11849,1~4명,1,4,전략게임,7.739,https://search.shopping.naver.com/search/all?query=마라카이보 보드게임,https://www.google.com/search?q=마라카이보 보드게임
115,왕좌의 게임 (2판),https://boardlife.co.kr/game/812,3~6명,3,6,전략게임,7.736,https://search.shopping.naver.com/search/all?query=왕좌의 게임 (2판) 보드게임,https://www.google.com/search?q=왕좌의 게임 (2판) 보드게임
116,모던아트,https://boardlife.co.kr/game/9406,3~5명,3,5,전략게임,7.735,https://search.shopping.naver.com/search/all?query=모던아트 보드게임,https://www.google.com/search?q=모던아트 보드게임
